Report.DOI,Year,Journal,Issue,Pages,Title,Technique,Instrument
https://doi.org/10.1111/j.1751-908X.2001.tb00601.x,2007,Geostandards Newsletter,25,261-266,"Strontium, Neodymium and Lead Isotope Analyses of NIST Glass Certified Reference Materials: SRM 610, 612, 614. ",MC-TIMS,Finnigan MAT 262
https://doi.org/10.1111/j.1751-908X.2012.00175.x,2012,Geostandards and Geoanalytical Research ,37,5-17,A Common Reference Material for Cadmium Isotope Studies ,Several,Several
